timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1653359108, 10061.0000, 6.2000e-14, 1485.02496569, 0.00000000, 0.00000000, -3.69423046, -3.69423046 
1653359109, 5885.0000, 1.2600e-13, 1475.11797578, 200666029.37034589, 0.00000000, 3169.63476534, 3169.63476534 
1653359110, 11032.0000, 1.8400e-13, 1485.19476332, 137777898.50061446, 0.00000000, -17.35378137, -17.35378137 
1653359111, 5156.0000, 2.1600e-13, 1485.45773881, 0.00000000, 0.00000000, 0.57730591, 0.57730591 
1653359112, 14880.0000, 3.3600e-13, 1485.55215530, 0.00000000, 0.00000000, -17.18064291, -17.18064291 
1653359113, 5407.0000, 4.2000e-13, 1483.56870237, 0.00000000, 0.00000000, 137.18458263, 137.18458263 
1653359114, 4664.0000, 5.0800e-13, 1485.02920429, 150949820.30244914, 0.00000000, -5.05153189, -5.05153189 
1653359115, 11369.0000, 6.0200e-13, 1484.52091930, 131040761.97332710, 0.00000000, 769.12311408, 769.12311408 
1653359116, 4470.0000, 6.7200e-13, 1479.03905039, 0.00000000, 0.00000000, 173950.75154630, 173950.75154630 
1653359117, 7190.0000, 7.4000e-13, 1485.23942949, 0.00000000, 0.00000000, 666.69873684, 666.69873684 
1653359118, 11506.0000, 8.2200e-13, 1485.40679299, 0.00000000, 0.00000000, 10020.29693472, 10020.29693472 
1653359119, 9811.0000, 8.4400e-13, 1485.36419381, 0.00000000, 0.00000000, 81021445.05746850, 81021445.05746850 
1653359120, 5197.0000, 9.3600e-13, 1485.08571336, 0.00000000, 0.00000000, 297.09021007, 297.09021007 
1653359121, 7227.0000, 1.0160e-12, 1481.51979795, 0.00000000, 0.00000000, 1923.38596764, 1923.38596764 
1653359122, 7456.0000, 1.0940e-12, 1485.58973639, 0.00000000, 0.00000000, 104.15545819, 104.15545819 
1653359123, 7574.0000, 1.2040e-12, 1477.04949861, 0.00000000, 0.00000000, 820359.72354547, 820359.72354547 
1653359124, 9182.0000, 1.2600e-12, 1484.48933898, 0.00000000, 0.00000000, 36062.87956402, 36062.87956402 
1653359125, 15765.0000, 1.3280e-12, 1485.04922188, 0.00000000, 0.00000000, 40.74407810, 40.74407810 
1653359126, 4621.0000, 1.4140e-12, 1484.82585005, 0.00000000, 0.00000000, 312.17797325, 312.17797325 
1653359127, 7581.0000, 1.5000e-12, 1486.52100424, 0.00000000, 0.00000000, 125156293.66870980, 125156293.66870980 
1653359128, 7422.0000, 1.6620e-12, 1479.56688339, 141750449.85885224, 0.00000000, 160.87360048, 160.87360048 
1653359129, 15694.0000, 1.7720e-12, 1486.33776977, 248687863.43009469, 0.00000000, 54.85109772, 54.85109772 
1653359130, 3929.0000, 1.8600e-12, 1483.34274538, 0.00000000, 0.00000000, 54.18267558, 54.18267558 
1653359131, 8543.0000, 1.9500e-12, 1485.10623080, 0.00000000, 0.00000000, 26.39031167, 26.39031167 
1653359132, 6208.0000, 2.0580e-12, 1484.23786773, 0.00000000, 0.00000000, 472.30545872, 472.30545872 
1653359133, 6718.0000, 2.1100e-12, 1485.67590628, 0.00000000, 0.00000000, 148.48078083, 148.48078083 
1653359134, 9847.0000, 2.2080e-12, 1485.89293273, 172144583.47620529, 0.00000000, 243950.82342771, 243950.82342771 
1653359135, 4458.0000, 2.3300e-12, 1480.79370362, 0.00000000, 0.00000000, 3628.26495411, 3628.26495411 
1653359136, 6889.0000, 2.4280e-12, 1481.01010298, 0.00000000, 0.00000000, 62.57206971, 62.57206971 
1653359137, 7272.0000, 2.5300e-12, 1484.06694422, 0.00000000, 0.00000000, 24022.23454118, 24022.23454118 
1653359138, 9862.0000, 2.6360e-12, 1481.40581605, 0.00000000, 0.00000000, 2519634.07214298, 2519634.07214298 
1653359139, 4565.0000, 2.7400e-12, 1483.93855695, 90829900.12790051, 0.00000000, -10.68457125, -10.68457125 
1653359140, 7300.0000, 2.8160e-12, 1483.72525099, 0.00000000, 0.00000000, -14.78167169, -14.78167169 
1653359141, 5988.0000, 2.9260e-12, 1481.93851879, 0.00000000, 0.00000000, 18.25479633, 18.25479633 
1653359142, 9647.0000, 3.0440e-12, 1483.04759635, 0.00000000, 0.00000000, 8.48967517, 8.48967517 
1653359143, 4559.0000, 3.1560e-12, 1481.39086808, 0.00000000, 0.00000000, 51.22731646, 51.22731646 
1653359144, 9936.0000, 3.2360e-12, 1477.21393067, 0.00000000, 0.00000000, 156.73202272, 156.73202272 
1653359145, 11226.0000, 3.3200e-12, 1477.57580581, 0.00000000, 0.00000000, 325.54506606, 325.54506606 
1653359146, 4374.0000, 3.3920e-12, 1482.62058349, 0.00000000, 0.00000000, 6543.22152651, 6543.22152651 
1653359147, 6984.0000, 3.4860e-12, 1477.25505841, 0.00000000, 0.00000000, 476.22376456, 476.22376456 
1653359148, 7924.0000, 3.5840e-12, 1474.65231686, 0.00000000, 0.00000000, 181.01987486, 181.01987486 
1653359149, 5346.0000, 3.6760e-12, 1481.88339131, 0.00000000, 0.00000000, 6910621.89902172, 6910621.89902172 
1653359150, 10858.0000, 3.8140e-12, 1481.38300734, 0.00000000, 0.00000000, 744264.33171733, 744264.33171733 
1653359151, 5385.0000, 3.9120e-12, 1480.60116288, 0.00000000, 0.00000000, 35.90738543, 35.90738543 
1653359152, 9318.0000, 4.0140e-12, 1470.68303638, 178010244.23570538, 0.00000000, 353.65343159, 353.65343159 
1653359153, 9372.0000, 4.0620e-12, 1481.71030857, 0.00000000, 0.00000000, -22.82561195, -22.82561195 
1653359154, 6746.0000, 4.1380e-12, 1471.37534308, 0.00000000, 0.00000000, 2608.83793992, 2608.83793992 
1653359155, 6350.0000, 4.2320e-12, 1479.38996845, 0.00000000, 0.00000000, 81.67433077, 81.67433077 
1653359156, 6738.0000, 4.3280e-12, 1481.98149480, 0.00000000, 0.00000000, 61513.72668512, 61513.72668512 
1653359157, 10000.0000, 4.4060e-12, 1480.79653748, 0.00000000, 0.00000000, 30025158.24640592, 30025158.24640592 
1653359158, 9931.0000, 4.5120e-12, 1481.76628715, 0.00000000, 0.00000000, -23.55697895, -23.55697895 
1653359159, 9563.0000, 4.6280e-12, 1481.99293939, 0.00000000, 0.00000000, -26.97828252, -26.97828252 
1653359160, 9014.0000, 4.6900e-12, 1481.48655224, 0.00000000, 0.00000000, -10.28579394, -10.28579394 
1653359161, 9954.0000, 4.7660e-12, 1480.75533099, 0.00000000, 0.00000000, 10.88210362, 10.88210362 
1653359162, 4345.0000, 4.8620e-12, 1472.87002161, 0.00000000, 0.00000000, 184.00209468, 184.00209468 
1653359163, 6412.0000, 4.9540e-12, 1480.19304396, 78681080.58961242, 0.00000000, 199.82746405, 199.82746405 
1653359164, 6081.0000, 5.0560e-12, 1479.47309899, 0.00000000, 0.00000000, 158.46022622, 158.46022622 
1653359165, 7092.0000, 5.1620e-12, 1480.87252762, 80398439.44920693, 0.00000000, -36.45873508, -36.45873508 
1653359166, 5658.0000, 5.2800e-12, 1480.09546907, 0.00000000, 0.00000000, -31.97743143, -31.97743143 
1653359167, 7260.0000, 5.3760e-12, 1479.76760949, 0.00000000, 0.00000000, -22.16953907, -22.16953907 
1653359168, 11618.0000, 5.4840e-12, 1479.90068070, 0.00000000, 0.00000000, 29.66656376, 29.66656376 
1653359169, 6248.0000, 5.5540e-12, 1476.03598326, 0.00000000, 0.00000000, 6230.70787185, 6230.70787185 
1653359170, 8187.0000, 5.6500e-12, 1479.89501783, 0.00000000, 0.00000000, 4968.97621133, 4968.97621133 
1653359171, 4504.0000, 5.7500e-12, 1479.63230776, 0.00000000, 0.00000000, -13.42691489, -13.42691489 
1653359172, 9924.0000, 5.8220e-12, 1479.79962651, 0.00000000, 0.00000000, -21.51946620, -21.51946620 
1653359173, 5795.0000, 5.9060e-12, 1479.79119444, 0.00000000, 0.00000000, 1781.80017351, 1781.80017351 
1653359174, 4459.0000, 5.9680e-12, 1476.99543707, 0.00000000, 0.00000000, 59.09907526, 59.09907526 
1653359175, 7784.0000, 6.0600e-12, 1478.36375028, 0.00000000, 0.00000000, 37.44494875, 37.44494875 
1653359176, 7733.0000, 6.1780e-12, 1465.30151668, 0.00000000, 0.00000000, 394.86626207, 394.86626207 
1653359177, 5958.0000, 6.2400e-12, 1474.18950521, 381967244.03774828, 0.00000000, 4861270.46810267, 4861270.46810267 
1653359178, 6043.0000, 6.3380e-12, 1479.30326826, 0.00000000, 0.00000000, -15.09355583, -15.09355583 
1653359179, 7720.0000, 6.4380e-12, 1478.50109742, 0.00000000, 0.00000000, 38379.00031571, 38379.00031571 
1653359180, 5596.0000, 6.5080e-12, 1479.75759236, 0.00000000, 0.00000000, -36.59919041, -36.59919041 
1653359181, 5780.0000, 6.5980e-12, 1477.90190661, 0.00000000, 0.00000000, 15.96297468, 15.96297468 
1653359182, 15139.0000, 6.6980e-12, 1478.24237147, 0.00000000, 0.00000000, 28.54944436, 28.54944436 
1653359183, 17478.0000, 6.7200e-12, 1475.83239646, 0.00000000, 0.00000000, 72.80424433, 72.80424433 
1653359184, 6842.0000, 6.7520e-12, 1450.41657256, 221385162.48566651, 0.00000000, 2051.75766547, 2051.75766547 
1653359185, 10285.0000, 6.8280e-12, 1478.91196327, 0.00000000, 0.00000000, -3.10697992, -3.10697992 
1653359186, 4319.0000, 6.9120e-12, 1464.72477628, 0.00000000, 0.00000000, 385.38720200, 385.38720200 
1653359187, 8002.0000, 6.9840e-12, 1472.32465765, 0.00000000, 0.00000000, 272.66847207, 272.66847207 
1653359188, 11989.0000, 7.0240e-12, 1473.23504206, 0.00000000, 0.00000000, 243.36254253, 243.36254253 
1653359189, 10424.0000, 7.0580e-12, 1479.54570391, 0.00000000, 0.00000000, -18.57180053, -18.57180053 
1653359190, 4974.0000, 7.0940e-12, 1479.95189495, 0.00000000, 0.00000000, -33.01528509, -33.01528509 
1653359191, 7372.0000, 7.1880e-12, 1475.33028481, 0.00000000, 0.00000000, 95.53978740, 95.53978740 
1653359192, 10310.0000, 7.2980e-12, 1466.02332040, 0.00000000, 0.00000000, 495.39225697, 495.39225697 
1653359193, 5199.0000, 7.3780e-12, 1479.49003846, 0.00000000, 0.00000000, -23.98536356, -23.98536356 
1653359194, 6762.0000, 7.4740e-12, 1479.64031986, 0.00000000, 0.00000000, 4.16628764, 4.16628764 
1653359195, 10839.0000, 7.5900e-12, 1470.05689921, 0.00000000, 0.00000000, 1946646.00727581, 1946646.00727581 
1653359196, 5352.0000, 7.6600e-12, 1475.10504436, 0.00000000, 0.00000000, 118.26059039, 118.26059039 
1653359197, 5009.0000, 7.7700e-12, 1480.01071412, 0.00000000, 0.00000000, 29.13450160, 29.13450160 
1653359198, 9521.0000, 7.8860e-12, 1473.89917748, 0.00000000, 0.00000000, 318.42999159, 318.42999159 
1653359199, 6080.0000, 7.9640e-12, 1474.61784047, 115193574.04039718, 0.00000000, 272.42480984, 272.42480984 
1653359200, 8660.0000, 8.0640e-12, 1481.94627696, 0.00000000, 0.00000000, -29.21158038, -29.21158038 
1653359201, 13434.0000, 8.1760e-12, 1481.82710601, 0.00000000, 0.00000000, -23.65726448, -23.65726448 
1653359202, 6853.0000, 8.2580e-12, 1477.48477341, 0.00000000, 0.00000000, 120.94682240, 120.94682240 
1653359203, 8670.0000, 8.3780e-12, 1480.76591896, 28762516.71104166, 0.00000000, -15.74494369, -15.74494369 
1653359204, 10485.0000, 8.4620e-12, 1477.15372202, 0.00000000, 0.00000000, 79.50804218, 79.50804218 
1653359205, 7684.0000, 8.5920e-12, 1478.98228089, 134901982.78001162, 0.00000000, 396434201.16517675, 396434201.16517675 
1653359206, 7496.0000, 8.7640e-12, 1479.82211112, 0.00000000, 0.00000000, 202.79527727, 202.79527727 
1653359207, 6120.0000, 8.8540e-12, 1477.72017207, 0.00000000, 0.00000000, 59.08786674, 59.08786674 
1653359208, 5833.0000, 8.9620e-12, 1478.05918272, 0.00000000, 0.00000000, 31.46443229, 31.46443229 
1653359209, 10347.0000, 9.0660e-12, 1472.40590748, 0.00000000, 0.00000000, 196.56344763, 196.56344763 
1653359210, 5591.0000, 9.1760e-12, 1480.19549041, 451888571.50294048, 0.00000000, -27.65783242, -27.65783242 
1653359211, 9021.0000, 9.2660e-12, 1474.30276437, 0.00000000, 0.00000000, 137.78365438, 137.78365438 
1653359212, 9880.0000, 9.4020e-12, 1477.25985863, 0.00000000, 0.00000000, 54.25354101, 54.25354101 
1653359213, 6182.0000, 9.4960e-12, 1480.39328937, 226865917.44686171, 0.00000000, 82.57920497, 82.57920497 
1653359214, 9288.0000, 9.6040e-12, 1479.24753033, 0.00000000, 0.00000000, 14.45085056, 14.45085056 
1653359215, 10697.0000, 9.7180e-12, 1462.66332246, 0.00000000, 0.00000000, 823.28146491, 823.28146491 
1653359216, 5461.0000, 9.8220e-12, 1478.99361340, 0.00000000, 0.00000000, 178.12775066, 178.12775066 
1653359217, 7908.0000, 9.9140e-12, 1476.78348017, 0.00000000, 0.00000000, 179.54002244, 179.54002244 
1653359218, 11202.0000, 1.0026e-11, 1479.87994545, 0.00000000, 0.00000000, 1.06489083, 1.06489083 
1653359219, 5937.0000, 1.0132e-11, 1477.73707081, 0.00000000, 0.00000000, 45.71281749, 45.71281749 
