timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1651427132, 51837.0000, 8.0000e-15, 1497.00032535, 0.00000000, 0.00000000, -7.41637804, -7.41637804 
1651427133, 57679.0000, 3.6000e-14, 1497.00473397, 0.00000000, 0.00000000, -8.52319370, -8.52319370 
1651427134, 54470.0000, 6.4000e-14, 1497.01973452, 0.00000000, 0.00000000, -12.63598326, -12.63598326 
1651427135, 55695.0000, 9.0000e-14, 1497.06390292, 0.00000000, 0.00000000, -20.14195206, -20.14195206 
1651427136, 49101.0000, 1.1800e-13, 1497.17623471, 0.00000000, 0.00000000, 194.42061765, 194.42061765 
1651427137, 58165.0000, 1.4600e-13, 1495.90432525, 62760253.47905999, 0.00000000, 113.20202460, 113.20202460 
1651427138, 52427.0000, 1.7400e-13, 1488.52722967, 0.00000000, 0.00000000, 1459.61733203, 1459.61733203 
1651427139, 58266.0000, 2.0200e-13, 1494.18294545, 91447670.33073950, 0.00000000, 267576.91747133, 267576.91747133 
1651427140, 55657.0000, 2.3000e-13, 1497.07333052, 0.00000000, 0.00000000, 2092378.83902968, 2092378.83902968 
1651427141, 55239.0000, 2.5600e-13, 1496.78320537, 0.00000000, 0.00000000, 23282.60153191, 23282.60153191 
1651427142, 56858.0000, 2.8400e-13, 1496.75278781, 0.00000000, 0.00000000, 200846438.58085987, 200846438.58085987 
1651427143, 52848.0000, 3.1000e-13, 1496.62522799, 0.00000000, 0.00000000, 117304220491.96630859, 117304220491.96630859 
1651427144, 57796.0000, 3.3800e-13, 1492.88636731, 0.00000000, 0.00000000, 418220.44366734, 418220.44366734 
1651427145, 62942.0000, 3.6600e-13, 1496.69261023, 0.00000000, 0.00000000, 5206.77039216, 5206.77039216 
1651427146, 52816.0000, 3.9200e-13, 1490.69769274, 0.00000000, 0.00000000, 1499.21118836, 1499.21118836 
1651427147, 64139.0000, 4.2000e-13, 1496.38289834, 22038044.56163191, 0.00000000, 4125.46667799, 4125.46667799 
1651427148, 51511.0000, 4.4600e-13, 1495.90438708, 82959972.20343699, 0.00000000, 1867.47514740, 1867.47514740 
1651427149, 51011.0000, 4.7400e-13, 1494.03033444, 58539188.69924261, 0.00000000, 927.94209937, 927.94209937 
1651427150, 57109.0000, 5.0200e-13, 1495.42594155, 36885244.53760268, 0.00000000, 253167.01990534, 253167.01990534 
1651427151, 54930.0000, 5.2800e-13, 1493.12804559, 0.00000000, 0.00000000, 707513.56299165, 707513.56299165 
1651427152, 55291.0000, 5.5600e-13, 1497.39291150, 49834044.95211440, 0.00000000, 28536.09017171, 28536.09017171 
1651427153, 54992.0000, 5.8200e-13, 1496.20578388, 0.00000000, 0.00000000, 48452.81431325, 48452.81431325 
1651427154, 54642.0000, 6.1000e-13, 1494.80523649, 116176901.13440076, 0.00000000, 32874.53008385, 32874.53008385 
1651427155, 57695.0000, 6.3800e-13, 1496.77369917, 0.00000000, 0.00000000, 286394.51929516, 286394.51929516 
1651427156, 52194.0000, 6.6600e-13, 1494.68238719, 0.00000000, 0.00000000, 149709.00134855, 149709.00134855 
1651427157, 56210.0000, 6.9200e-13, 1494.14756458, 0.00000000, 0.00000000, 132222.66790034, 132222.66790034 
1651427158, 57320.0000, 7.2000e-13, 1496.71669794, 38609400.61926940, 0.00000000, 1278544.82024586, 1278544.82024586 
1651427159, 58817.0000, 7.4600e-13, 1494.66001817, 37260407.24248538, 0.00000000, 75044.32089038, 75044.32089038 
1651427160, 51702.0000, 7.7400e-13, 1494.73190526, 11695856.96208280, 0.00000000, 35852.83629862, 35852.83629862 
1651427161, 53445.0000, 8.0200e-13, 1494.43363866, 0.00000000, 0.00000000, 3277.98263685, 3277.98263685 
1651427162, 55120.0000, 8.2800e-13, 1494.99695212, 0.00000000, 0.00000000, 8116.35415682, 8116.35415682 
1651427163, 57474.0000, 8.5600e-13, 1496.68257309, 0.00000000, 0.00000000, 1546.63839942, 1546.63839942 
1651427164, 56411.0000, 8.8400e-13, 1492.89877686, 0.00000000, 0.00000000, 2231.04293966, 2231.04293966 
1651427165, 55944.0000, 9.1000e-13, 1496.76755604, 0.00000000, 0.00000000, 524.38571804, 524.38571804 
1651427166, 53392.0000, 9.3600e-13, 1492.45620421, 9911116.93312545, 0.00000000, 705.38759486, 705.38759486 
1651427167, 53587.0000, 9.6400e-13, 1494.89411383, 0.00000000, 0.00000000, 385.79673136, 385.79673136 
1651427168, 55172.0000, 9.9200e-13, 1487.63738430, 0.00000000, 0.00000000, 1704.25397997, 1704.25397997 
1651427169, 52856.0000, 1.0200e-12, 1494.13445696, 45452258.08287753, 0.00000000, 247813.58085179, 247813.58085179 
1651427170, 52177.0000, 1.0460e-12, 1491.44043137, 0.00000000, 0.00000000, 1131.30613284, 1131.30613284 
1651427171, 56984.0000, 1.0740e-12, 1492.59177555, 0.00000000, 0.00000000, 4319.80466485, 4319.80466485 
1651427172, 60261.0000, 1.1020e-12, 1495.10210874, 0.00000000, 0.00000000, 345296427.96236289, 345296427.96236289 
1651427173, 53350.0000, 1.1280e-12, 1496.71400222, 103984864.51020637, 0.00000000, 680.80158346, 680.80158346 
1651427174, 56300.0000, 1.1560e-12, 1495.86761368, 24159829.92118607, 0.00000000, 1238967.44537544, 1238967.44537544 
1651427175, 57283.0000, 1.1840e-12, 1496.48161098, 39010563.61255798, 0.00000000, 625961710.35520506, 625961710.35520506 
1651427176, 52882.0000, 1.2120e-12, 1492.88329183, 78887770.58539447, 0.00000000, 450203.83291861, 450203.83291861 
1651427177, 55722.0000, 1.2380e-12, 1496.77521153, 119665111.32010448, 0.00000000, 16252748.46519821, 16252748.46519821 
1651427178, 51654.0000, 1.2640e-12, 1496.18502921, 36679451.42150244, 0.00000000, 2866744.44710488, 2866744.44710488 
1651427179, 53632.0000, 1.2900e-12, 1494.87059649, 41016263.07809733, 0.00000000, 1826063981.75848889, 1826063981.75848889 
1651427180, 57351.0000, 1.3180e-12, 1497.02283595, 0.00000000, 0.00000000, 14445.77814245, 14445.77814245 
1651427181, 55631.0000, 1.3460e-12, 1491.75241232, 0.00000000, 0.00000000, 149241744394.35543823, 149241744394.35543823 
1651427182, 55615.0000, 1.3720e-12, 1495.97527451, 0.00000000, 0.00000000, 60893.60164381, 60893.60164381 
1651427183, 51915.0000, 1.4000e-12, 1488.95949985, 43453883.90548732, 0.00000000, 11590.67088296, 11590.67088296 
