timestamp,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1653457353, 93318.0070, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457354, 93306.4520, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457355, 93153.9270, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457356, 93282.5070, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457357, 133627.7570, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457358, 131620.7660, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457359, 107921.6860, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457360, 122271.2690, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457361, 92923.8530, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457362, 93492.3320, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457363, 93272.9580, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457364, 101349.4730, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457365, 97079.6890, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457366, 93406.6140, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457367, 103655.6400, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457368, 94201.4180, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457369, 93215.3640, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457370, 93382.8700, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457371, 93893.6960, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457372, 94086.5260, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457373, 93279.8840, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457374, 94082.2090, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457375, 93910.9740, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457376, 94031.9330, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457377, 110999.0670, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457378, 93698.5180, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457379, 93491.3750, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457380, 93470.2880, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457381, 129747.3970, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457382, 118211.7920, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457383, 111387.9890, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457384, 108323.3460, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457385, 105916.9750, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457386, 101602.6410, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457387, 143692.8350, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457388, 109544.2750, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457389, 171228.0360, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457390, 109371.7620, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457391, 112370.3310, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457392, 135693.9670, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
1653457393, 100739.4110, 0.0000e+00, 1498.50000000, 0.00000000, 206890.18072200, -14.18525589, 206875.99546611 
