timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1651301974, 79646.0000, 2.2000e-14, 1497.00277724, 0.00000000, 103341.73344191, -7.51780694, 103334.21563497 
1651301975, 80108.0000, 4.6000e-14, 1497.01448187, 0.00000000, 103342.54144065, -9.13267635, 103333.40876430 
1651301976, 78561.0000, 7.0000e-14, 1497.05338042, 0.00000000, 103345.22670187, -14.49691567, 103330.72978620 
1651301977, 79367.0000, 9.4000e-14, 1496.97742279, 0.00000000, 103339.98316241, -4.66408527, 103335.31907715 
1651301978, 81184.0000, 1.2000e-13, 1497.05975467, 0.00000000, 103345.66673150, -15.89012962, 103329.77660188 
1651301979, 81276.0000, 1.4400e-13, 1492.46950644, 63920981.31325274, 103028.79076079, 617.65010112, 103646.44086190 
1651301980, 81178.0000, 1.6800e-13, 1491.90860928, 109875771.26918344, 102990.07066901, 683.66383234, 103673.73450134 
1651301981, 79353.0000, 1.9400e-13, 1494.13330101, 142857944.13035098, 103143.64653629, 386.08090226, 103529.72743855 
1651301982, 79893.0000, 2.1800e-13, 1494.42189923, 0.00000000, 103163.56917124, 341.62112082, 103505.19029206 
1651301983, 82584.0000, 2.4200e-13, 1495.08994802, 36572256.51800574, 103209.68620033, 251.95614936, 103461.64234969 
1651301984, 80155.0000, 2.6800e-13, 1493.22786766, 0.00000000, 103081.14227526, 511.18017712, 103592.32245238 
1651301985, 80912.0000, 2.9200e-13, 1493.60197791, 31598151.10097517, 103106.96801332, 447.78750218, 103554.75551550 
1651301986, 80634.0000, 3.1800e-13, 1496.48365618, 58334734.15446403, 103305.89725527, 62.39701956, 103368.29427484 
1651301987, 83502.0000, 3.4200e-13, 1490.42124840, 107572494.27793500, 102887.39453882, 898.11204021, 103785.50657903 
1651301988, 81618.0000, 3.6600e-13, 1494.17450959, 0.00000000, 103146.49126447, 380.63711812, 103527.12838259 
1651301989, 79882.0000, 3.9200e-13, 1497.05479743, 70656231.70584415, 103345.32452168, -14.65310762, 103330.67141407 
1651301990, 78873.0000, 4.1600e-13, 1492.14872740, 0.00000000, 103006.64660507, 665.25441369, 103671.90101875 
1651301991, 81247.0000, 4.4000e-13, 1492.21217939, 0.00000000, 103011.02685013, 639.28424770, 103650.31109783 
1651301992, 81614.0000, 4.6600e-13, 1493.13386468, 0.00000000, 103074.65302194, 521.70834479, 103596.36136673 
1651301993, 80707.0000, 4.9000e-13, 1493.47324741, 18883676.99485610, 103098.08143508, 471.09161731, 103569.17305239 
1651301994, 83143.0000, 5.1400e-13, 1492.92087058, 20999897.99208940, 103059.94952219, 548.19582413, 103608.14534633 
1651301995, 81231.0000, 5.3800e-13, 1495.30519413, 0.00000000, 103224.54516132, 220.36023956, 103444.90540088 
1651301996, 81736.0000, 5.6400e-13, 1494.82952898, 98684352.24419267, 103191.70884195, 284.71548778, 103476.42432973 
1651301997, 82819.0000, 5.8800e-13, 1496.10412383, 119751835.36648135, 103279.69721686, 108.42838883, 103388.12560569 
1651301998, 80734.0000, 6.1200e-13, 1495.93959193, 16174186.42106599, 103268.33918030, 131.49760135, 103399.83678164 
1651301999, 80876.0000, 6.3800e-13, 1495.86644300, 0.00000000, 103263.28953207, 141.06023865, 103404.34977073 
1651302000, 81128.0000, 6.6200e-13, 1494.21780834, 0.00000000, 103149.48028207, 370.30128560, 103519.78156767 
1651302001, 80931.0000, 6.8600e-13, 1490.34590762, 0.00000000, 102882.19358240, 907.02364830, 103789.21723070 
1651302002, 81022.0000, 7.1200e-13, 1496.18319638, 0.00000000, 103285.15578623, 97.98627355, 103383.14205977 
1651302003, 82499.0000, 7.3600e-13, 1490.38135633, 37803598.38220587, 102884.64069278, 904.06378574, 103788.70447852 
1651302004, 81916.0000, 7.6000e-13, 1494.60157276, 0.00000000, 103175.97247105, 315.11826988, 103491.09074093 
1651302005, 84968.0000, 7.8600e-13, 1493.08388753, 0.00000000, 103071.20297781, 528.97818136, 103600.18115917 
1651302006, 78896.0000, 8.1000e-13, 1496.71099665, 34414270.55813449, 103321.59111983, 24.84264875, 103346.43376858 
1651302007, 79786.0000, 8.3400e-13, 1493.24119575, 0.00000000, 103082.06234585, 500.48739288, 103582.54973873 
1651302008, 80408.0000, 8.6000e-13, 1489.34211773, 32298290.90803182, 102812.89953060, 1048.78164164, 103861.68117223 
1651302009, 79129.0000, 8.8400e-13, 1495.32960337, 0.00000000, 103226.23019021, 215.64311211, 103441.87330232 
