  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
1653375416, 0.0683, 0.0000e+00, -nan, 0.00000000, -nan, -nan, -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
1653375417, 0.0677, 0.0000e+00, -nan, 0.00000000, -nan, -nan, -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
1653375418, 0.0653, 0.0000e+00, -nan, 0.00000000, -nan, -nan, -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
  0.0000e+00                  -nan            0.00000000                 -nan                  -nan                  -nan 
